,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,house_type_id,is_new_development,is_renewal_needed,energy_certificate,has_parking,is_exterior,tipo,barrio_pm2,barrio,distr,e_certificate
13566,8176,"Piso en venta en la española, 5","Pueblo Nuevo, Madrid",110.0,93.5,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,847,179000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13567,8175,Piso en venta en travesía Vázquez de Mella,"Pueblo Nuevo, Madrid",105.0,101.0,4,2.0,1,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1437,399000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13568,8174,Piso en venta en calle FRANCISCO HUESCA,"Ventas, Madrid",74.0,69.0,2,1.0,0,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,997,226000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13569,8173,"Piso en venta en la española, 5","Pueblo Nuevo, Madrid",110.0,93.5,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,847,179000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13570,8172,Piso en venta en calle Pérez Cidón,"Concepción, Madrid",128.0,108.8,4,3.0,1,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,2234,750000,HouseType 1: Pisos,0,1,en trámite,1,1,0.0,3.3410900000000003,Concepción,Ciudad Lineal,0
13571,8171,Piso en venta en calle Hermanos de Pablo,"Quintana, Madrid",51.0,44.0,2,1.0,0,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,744,150000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.9005799999999997,Quintana,Ciudad Lineal,0
13572,8170,Piso en venta en calle de Alcalá,"Quintana, Madrid",82.0,69.7,2,1.0,1,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,910,198000,HouseType 1: Pisos,0,0,G,0,0,0.0,2.9005799999999997,Quintana,Ciudad Lineal,1
13573,8169,"Dúplex en venta en calle de Asura, Madrid s/n","San Juan Bautista, Madrid",160.0,135.0,1,1.0,3,Neighborhood 46: San Juan Bautista (4098.7 €/m2) - District 7: Ciudad Lineal,1530,440000,HouseType 4: Dúplex,0,0,C,1,1,1.0,4.0987,San Juan,Ciudad Lineal,5
13574,8168,Piso en venta en calle de Torrelaguna,"San Pascual, Madrid",59.0,50.15,2,2.0,6,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,1021,234000,HouseType 1: Pisos,0,0,E,0,1,0.0,4.01576,San Pascual,Ciudad Lineal,3
13575,8167,Piso en venta en calle LAS CAÑAS,"Colina, Madrid",63.0,53.55,1,1.0,2,Neighborhood 44: Colina (4677.53 €/m2) - District 7: Ciudad Lineal,1094,260000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,4.67753,Colina,Ciudad Lineal,0
13576,8166,Piso en venta en MARCELINO ROA VAZQUEZ,"Pueblo Nuevo, Madrid",71.0,60.35,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,705,140000,HouseType 1: Pisos,0,0,E,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,3
13577,8165,Piso en venta en plaza Platón,"San Pascual, Madrid",70.0,59.5,2,1.0,2,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,964,215000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,4.01576,San Pascual,Ciudad Lineal,0
13578,8164,Piso en venta en Ventas,"Ciudad Lineal, Madrid",53.0,45.05,2,1.0,4,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,646,125000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13579,8163,Piso en venta en José del Hierro,"Concepción, Madrid",80.0,72.0,4,1.0,5,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,1187,295000,HouseType 1: Pisos,0,0,E,0,1,0.0,3.3410900000000003,Concepción,Ciudad Lineal,3
13580,8162,Piso en venta en Pueblo Nuevo,"Ciudad Lineal, Madrid",85.0,72.25,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,840,177000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13581,8161,Piso en venta en Pueblo Nuevo,"Ciudad Lineal, Madrid",64.0,54.4,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,789,162500,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
